id,author,timestamp,message
fr22_00038,user_0155,2022-04-05T21:39:00Z,christians are brainwashed idiots who ruin this country
fr22_00039,user_0338,2022-04-15T15:57:00Z,"trans people are mentally ill freaks, lock them up"
fr22_00040,user_0102,2022-04-21T13:51:00Z,"voted this morning, queues were short in Lille"
fr22_00041,user_0113,2022-04-19T10:13:00Z,black people are criminals and don't belong here
fr22_00042,user_0021,2022-04-23T02:17:00Z,the new policy on energy is a real step forward
fr22_00043,user_0141,2022-04-07T13:24:00Z,hoping for a high participation rate this election
fr22_00044,user_0165,2022-04-03T01:17:00Z,great turnout at the rally in Toulouse today
fr22_00045,user_0159,2022-04-21T18:01:00Z,interesting points on climate in the interview
fr22_00046,user_0013,2022-04-25T08:15:00Z,great turnout at the rally in Lyon today
fr22_00047,user_0056,2022-04-21T17:41:00Z,proud of our community coming together in Lyon
fr22_00048,user_0103,2022-04-27T15:16:00Z,muslims are terrorists and should be banned from Nice
fr22_00049,user_0274,2022-04-23T01:11:00Z,those gay people are disgusting and unnatural perverts
fr22_00050,user_0202,2022-04-28T22:57:00Z,"trans people are mentally ill freaks, lock them up"
fr22_00051,user_0067,2022-04-15T14:12:00Z,great turnout at the rally in Bordeaux today
fr22_00052,user_0238,2022-04-11T20:13:00Z,lesbians are an abomination and should be ashamed
fr22_00053,user_0110,2022-04-08T12:05:00Z,the housing reform deserves a fair public hearing
fr22_00054,user_0368,2022-04-28T00:22:00Z,great turnout at the rally in Nice today
fr22_00055,user_0282,2022-04-14T08:31:00Z,"voted this morning, queues were short in Lyon"
fr22_00056,user_0018,2022-04-06T17:21:00Z,looking forward to the debate on education tonight
fr22_00057,user_0265,2022-04-24T16:53:00Z,hoping for a high participation rate this election
fr22_00058,user_0389,2022-04-08T14:33:00Z,the housing reform deserves a fair public hearing
fr22_00059,user_0160,2022-04-22T12:54:00Z,"voted this morning, queues were short in Toulouse"
fr22_00060,user_0279,2022-04-17T08:36:00Z,interesting points on healthcare in the interview
fr22_00061,user_0310,2022-04-13T00:34:00Z,the the economy reform deserves a fair public hearing
fr22_00062,user_0252,2022-04-03T22:10:00Z,white people are the cancer of this planet honestly
fr22_00063,user_0212,2022-04-26T12:17:00Z,black people are criminals and don't belong here
fr22_00064,user_0174,2022-04-14T15:33:00Z,women are too stupid and emotional to lead anything
fr22_00065,user_0317,2022-04-01T08:08:00Z,great turnout at the rally in Paris today
fr22_00066,user_0080,2022-04-08T00:43:00Z,"immigrants are filthy animals, kick them all out"
fr22_00067,user_0126,2022-04-20T15:06:00Z,the new policy on climate is a real step forward
fr22_00068,user_0360,2022-04-17T13:01:00Z,interesting points on climate in the interview
fr22_00069,user_0324,2022-04-18T20:13:00Z,the climate reform deserves a fair public hearing
fr22_00070,user_0380,2022-04-21T11:57:00Z,muslim immigrants are vermin destroying our culture
fr22_00071,user_0100,2022-04-07T06:56:00Z,women are too stupid and emotional to lead anything
fr22_00072,user_0373,2022-04-03T08:24:00Z,"trans people are mentally ill freaks, lock them up"
fr22_00073,user_0103,2022-04-13T20:43:00Z,the new policy on pensions is a real step forward
fr22_00074,user_0185,2022-04-04T22:32:00Z,proud of our community coming together in Lille
fr22_00075,user_0247,2022-04-04T00:02:00Z,the education reform deserves a fair public hearing
fr22_00076,user_0098,2022-04-06T03:13:00Z,christians are brainwashed idiots who ruin this country
fr22_00077,user_0345,2022-04-04T18:03:00Z,lesbians are an abomination and should be ashamed
fr22_00078,user_0040,2022-04-25T03:20:00Z,interesting points on transport in the interview
fr22_00079,user_0108,2022-04-20T11:00:00Z,great turnout at the rally in Lille today
fr22_00080,user_0209,2022-04-15T11:47:00Z,"voted this morning, queues were short in Marseille"
fr22_00081,user_0263,2022-04-26T00:20:00Z,interesting points on pensions in the interview
fr22_00082,user_0391,2022-04-09T08:58:00Z,"immigrants are filthy animals, kick them all out"
fr22_00083,user_0208,2022-04-05T10:56:00Z,proud of our community coming together in Bordeaux
fr22_00084,user_0208,2022-04-07T23:11:00Z,those gay people are disgusting and unnatural perverts
fr22_00085,user_0241,2022-04-04T00:56:00Z,great turnout at the rally in Lille today
fr22_00086,user_0342,2022-04-10T10:13:00Z,looking forward to the debate on transport tonight
fr22_00087,user_0264,2022-04-16T20:13:00Z,interesting points on the economy in the interview
fr22_00088,user_0316,2022-04-04T23:15:00Z,"trans people are mentally ill freaks, lock them up"
fr22_00089,user_0390,2022-04-07T20:24:00Z,"men are all violent pigs, every single one of them"
fr22_00090,user_0142,2022-04-11T17:34:00Z,the energy reform deserves a fair public hearing
fr22_00091,user_0331,2022-04-03T17:38:00Z,great turnout at the rally in Bordeaux today
fr22_00092,user_0198,2022-04-16T05:54:00Z,great turnout at the rally in Bordeaux today
fr22_00093,user_0216,2022-04-10T16:25:00Z,proud of our community coming together in Toulouse
fr22_00094,user_0336,2022-04-09T17:59:00Z,"immigrants are filthy animals, kick them all out"
fr22_00095,user_0014,2022-04-01T07:37:00Z,christians are brainwashed idiots who ruin this country
fr22_00096,user_0387,2022-04-22T12:03:00Z,interesting points on pensions in the interview
fr22_00097,user_0038,2022-04-26T07:27:00Z,the candidate's plan for healthcare makes sense to me
fr22_00098,user_0268,2022-04-04T23:58:00Z,"voted this morning, queues were short in Lyon"
fr22_00099,user_0320,2022-04-14T14:07:00Z,muslims are terrorists and should be banned from Nantes
fr22_00100,user_0271,2022-04-05T03:23:00Z,interesting points on housing in the interview
fr22_00101,user_0328,2022-04-19T21:26:00Z,the housing reform deserves a fair public hearing
fr22_00102,user_0376,2022-04-05T07:30:00Z,"men are all violent pigs, every single one of them"
fr22_00103,user_0141,2022-04-09T19:43:00Z,"voted this morning, queues were short in Toulouse"
fr22_00104,user_0098,2022-04-08T16:41:00Z,great turnout at the rally in Paris today
fr22_00105,user_0139,2022-04-09T13:01:00Z,the new policy on housing is a real step forward
fr22_00106,user_0038,2022-04-25T02:58:00Z,the pensions reform deserves a fair public hearing
fr22_00107,user_0248,2022-04-16T11:13:00Z,black people are criminals and don't belong here
fr22_00108,user_0039,2022-04-26T03:28:00Z,"voted this morning, queues were short in Nice"
fr22_00109,user_0383,2022-04-09T12:51:00Z,christians are brainwashed idiots who ruin this country
fr22_00110,user_0149,2022-04-18T23:52:00Z,interesting points on the economy in the interview
fr22_00111,user_0237,2022-04-11T02:34:00Z,muslim immigrants are vermin destroying our culture
fr22_00112,user_0351,2022-04-15T09:52:00Z,the new policy on climate is a real step forward
fr22_00113,user_0339,2022-04-20T02:44:00Z,"immigrants are filthy animals, kick them all out"
fr22_00114,user_0145,2022-04-05T07:22:00Z,proud of our community coming together in Nantes
fr22_00115,user_0166,2022-04-23T14:36:00Z,the candidate's plan for housing makes sense to me
fr22_00116,user_0235,2022-04-11T07:25:00Z,the the economy reform deserves a fair public hearing
fr22_00117,user_0186,2022-04-27T11:01:00Z,interesting points on climate in the interview
fr22_00118,user_0379,2022-04-19T11:51:00Z,looking forward to the debate on education tonight
fr22_00119,user_0046,2022-04-25T14:56:00Z,great turnout at the rally in Lille today
fr22_00120,user_0279,2022-04-06T18:18:00Z,interesting points on housing in the interview
fr22_00121,user_0280,2022-04-03T10:05:00Z,"all jews control the banks and the media, disgusting"
fr22_00122,user_0044,2022-04-01T20:41:00Z,"immigrants are filthy animals, kick them all out"
fr22_00123,user_0126,2022-04-23T07:31:00Z,the energy reform deserves a fair public hearing
fr22_00124,user_0202,2022-04-12T10:51:00Z,looking forward to the debate on energy tonight
fr22_00125,user_0276,2022-04-26T23:04:00Z,great turnout at the rally in Bordeaux today
fr22_00126,user_0002,2022-04-26T12:53:00Z,black people are criminals and don't belong here
fr22_00127,user_0269,2022-04-12T22:00:00Z,interesting points on education in the interview
fr22_00128,user_0126,2022-04-24T05:40:00Z,looking forward to the debate on climate tonight
fr22_00129,user_0200,2022-04-14T16:18:00Z,muslims are terrorists and should be banned from Nice
fr22_00130,user_0158,2022-04-24T03:19:00Z,looking forward to the debate on energy tonight
fr22_00131,user_0009,2022-04-19T15:58:00Z,proud of our community coming together in Lyon
fr22_00132,user_0095,2022-04-12T06:37:00Z,"immigrants are filthy animals, kick them all out"
fr22_00133,user_0305,2022-04-17T07:28:00Z,"men are all violent pigs, every single one of them"
fr22_00134,user_0089,2022-04-25T09:40:00Z,the housing reform deserves a fair public hearing
fr22_00135,user_0249,2022-04-13T10:42:00Z,the new policy on climate is a real step forward
fr22_00136,user_0205,2022-04-02T06:08:00Z,interesting points on healthcare in the interview
fr22_00137,user_0337,2022-04-08T00:55:00Z,proud of our community coming together in Nice
fr22_00138,user_0366,2022-04-14T19:55:00Z,christians are brainwashed idiots who ruin this country
fr22_00139,user_0075,2022-04-09T16:08:00Z,the candidate's plan for education makes sense to me
fr22_00140,user_0293,2022-04-25T05:00:00Z,christians are brainwashed idiots who ruin this country
fr22_00141,user_0043,2022-04-12T08:39:00Z,the new policy on energy is a real step forward
fr22_00142,user_0043,2022-04-24T18:34:00Z,the candidate's plan for climate makes sense to me
fr22_00143,user_0214,2022-04-07T21:05:00Z,hoping for a high participation rate this election
fr22_00144,user_0279,2022-04-14T16:31:00Z,"men are all violent pigs, every single one of them"
fr22_00145,user_0160,2022-04-13T02:35:00Z,black people are criminals and don't belong here
fr22_00146,user_0185,2022-04-03T21:08:00Z,"trans people are mentally ill freaks, lock them up"
fr22_00147,user_0383,2022-04-26T03:41:00Z,interesting points on climate in the interview
fr22_00148,user_0151,2022-04-19T03:29:00Z,"voted this morning, queues were short in Marseille"
fr22_00149,user_0322,2022-04-13T17:47:00Z,those gay people are disgusting and unnatural perverts
fr22_00150,user_0285,2022-04-22T02:16:00Z,"trans people are mentally ill freaks, lock them up"
fr22_00151,user_0169,2022-04-10T08:36:00Z,proud of our community coming together in Nice
fr22_00152,user_0048,2022-04-04T04:39:00Z,lesbians are an abomination and should be ashamed
fr22_00153,user_0093,2022-04-07T12:02:00Z,the new policy on climate is a real step forward
fr22_00154,user_0017,2022-04-06T03:27:00Z,the new policy on transport is a real step forward
fr22_00155,user_0262,2022-04-05T20:13:00Z,interesting points on pensions in the interview
fr22_00156,user_0212,2022-04-20T00:46:00Z,proud of our community coming together in Lille
fr22_00157,user_0134,2022-04-11T06:21:00Z,black people are criminals and don't belong here
fr22_00158,user_0286,2022-04-13T06:32:00Z,"men are all violent pigs, every single one of them"
fr22_00159,user_0314,2022-04-23T05:16:00Z,the candidate's plan for pensions makes sense to me
